TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
3.761632653,0.00473148,0.368239,0.733295,0.286041,0.161596,1.34108,0.0162137,0,0.0314621,1.0598,3.36348,0
3.808072562,0.0708838,0.189387,0.884745,0.197524,0.18893,1.32729,0.0291717,0.0144888,0.144505,0.69147,3.25053,0.0956646
3.854512472,0.266286,0.219502,0.972092,0,0.0337623,0.929927,0.024179,0.0448084,0.147095,0.489485,3.17438,0.365017
3.900952381,0,0.275672,0.709814,0.0820304,0.0359002,0.882771,0.0256361,0.149828,0.0171658,0.601102,3.25763,0.525733
3.947392290,0,0.373572,0.468878,0.118059,0.0177559,1.12771,0.0315353,0.200855,0.0158941,0.776089,3.26246,0.28758
3.993832200,0,0.570149,0.595481,0,0.219535,1.49891,0.0332538,0.106925,0.0841307,0.833908,2.93701,0.200216
4.040272109,0,0.654286,0.622077,0,0.31424,1.50908,0,0.171943,0.235808,0.904773,2.41753,0.160846
4.086712018,0.170392,0.31282,0.824141,0,0.596969,1.12812,0.13924,0.284256,0.231571,0.821725,2.0571,0.0447726
4.133151927,0.343891,0.18098,0.960628,0.00181014,0.873729,0.88208,0.578846,0.314012,0.0985454,0.937308,2.0807,0
4.179591837,0.468178,0.158299,1.08205,0.0102658,1.17398,0.709867,0.768115,0.106751,0.111463,1.16647,2.18977,0
4.226031746,0,0,0,0,0,0,0,0,0,0,0,0
4.272471655,0,0,0,0,0,0,0,0,0,0,0,0
